location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,Car Parking,city,property_type,price_per_sqft,amenity_count
Dhakoli,1358.0,3800000.0,INR,Unknown,1.0,0.0,It’s a 3 bhk builder floor situated in Dhakoli. It has an area of 1358 sqft with a carpet area of 1050 sqft . The property is available at a price of Rs. 38.00 lac . The house is semi-furnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ,1.0,East,0.0,0,0,0,0,1,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,2798.23,1
Dhakoli,900.0,3190000.0,INR,1.0,1.0,0.0,Well designed 3 bhk builder floor is available at a prime location in Dhakoli. It has an area of 900 sqft . The property is available at a price of Rs. 31.90 lac . It is a semi-furnished property. It is a ready-to-move-in property. Contact us for more details. ,1.0,Unknown,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,3544.44,0
Dhakoli,1125.0,4200000.0,INR,Unknown,1.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has an area of 1125 sqft with a carpet area of 925 sqft . The property is available at a price of Rs. 42.00 lac . The house is semi-furnished. Its main door is facing north direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,North,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,3733.33,0
New Chandigarh Mohali,1415.0,7950100.0,INR,0.0,1.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in New chandigarh mohali. It has a built-up area of 1415 sqft and is priced at Rs. 79.50 lac . The house is semi-furnished. It has lift available. Other amenities include club house, gymnasium, power backup and swimming pool. It is facing west direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. ",1.0,West,0.0,0,1,1,0,1,1,1,1,1,0,0,9.1,0.0,Chandigarh,Builderfloor,5618.45,7
Sector 35,1575.0,12000000.0,INR,Unknown,0.0,0.0,"A 2 BHK Independent Floor for sale in Sector 35, Mohali. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Sector 35's most desired properties. Contact now for more information. This 2 BHK unit is on floor 0. There are 3 floors in this property. The price of this Independent Floor is Rs 1.2 Cr. Each unit has a built-up area of 1575 Square feet. The carpet area is 1260 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Government Model Senior Secondary School, CMJ University, and Shishu Niketan Public School. It is also close to Tricity Institute of Plastic Surgery TIPS, Mukat Hospital & Heart Institute, and Grover Eye Laser & ENT Hospital",1.0,Unknown,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,7619.05,0
Sunny Enclave,600.0,1690000.0,INR,1.0,1.0,0.0,"It’s a 1 bhk builder floor situated in Sunny Enclave, Chandigarh. It has a salable area of 600 sqft and is available at a price of Rs. 2,816 per sqft. The house is semi-furnished. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Kindly call us for details. ",1.0,East,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,2816.67,0
Lohgarh,1350.0,6200000.0,INR,Unknown,1.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Lohgarh. It has a salable area of 1350 sqft and is available at a price of Rs. 4,592 per sqft. It is a semi-furnished property. It is east facing property. This residential complex is under-construction as of now. . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1.0,East,0.0,0,1,1,0,1,1,1,1,1,0,0,9.1,0.0,Chandigarh,Builderfloor,4592.59,7
New Chandigarh Mohali,1596.0,9505000.0,INR,Unknown,0.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in New chandigarh mohali. It has a salable area of 1596 sqft and is available at a price of Rs. 5,955 per sqft. It is an under-construction property . It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1.0,East,0.0,0,1,1,0,1,1,1,1,1,0,0,9.1,0.0,Chandigarh,Builderfloor,5955.51,7
Gazipur,1450.0,3900000.0,INR,1.0,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Motia Developers Motia Platinum Floors, Gazipur, Chandigarh. The house is semi-furnished. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1.0,East,0.0,5,1,0,0,1,0,0,0,1,0,0,9.1,0.0,Chandigarh,Builderfloor,2689.66,3
Lohgarh,1800.0,6200000.0,INR,Unknown,0.0,0.0,"It’s a 3 bhk builder floor situated in Lohgarh, Chandigarh. It has an area of 1800 sqft with a carpet area of 1600 sqft . The property is available at a price of Rs. 62.00 lac . It is a semi-furnished property. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,Northeast,0.0,0,1,1,0,1,1,1,1,1,0,0,9.1,0.0,Chandigarh,Builderfloor,3444.44,7
Sector 60,2250.0,16000000.0,INR,Unknown,1.0,0.0,"It has a salable area of 2250 sqft and is available at a price of Rs. 7,111 per sqft. It is an unfurnished property. It is facing southeast direction. It is an under-construction property . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1.0,Southeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,7111.11,0
Sunny Enclave,1350.0,4299000.0,INR,Unknown,1.0,0.0,"It has a salable area of 1350 sqft and is available at a price of Rs. 3,184 per sqft. It is a semi-furnished property. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1.0,East,0.0,0,1,1,0,1,1,1,1,1,0,0,9.1,0.0,Chandigarh,Builderfloor,3184.44,7
Sector 78,1440.0,9000000.0,INR,1.0,0.0,0.0,"A 3 bhk property is available for sale in Sector 78, Chandigarh. It has an area of 1440 sqft . The property is available at a price of Rs. 90.00 lac . The house is semi-furnished. It is a ready-to-move-in property. Contact us for more details. ",1.0,East,0.0,0,0,1,0,1,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,6250.0,2
Dhakoli,2079.0,7900000.0,INR,Unknown,1.0,0.0,"A spacious 4 bhk builder floor is available for sale in Dhakoli, Chandigarh. It has a built-up area of 2079 sqft and is priced at Rs. 79.00 lac . It is a semi-furnished property. Furnishings include 1 tv, 1 sofa, 1 sofa and 1 ac. It is facing northeast direction. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",1.0,Northeast,0.0,0,1,1,0,1,1,1,1,1,0,0,9.1,0.0,Chandigarh,Builderfloor,3799.9,7
New Chandigarh Mohali,1640.0,6499320.0,INR,Unknown,0.0,0.0,"A 3 bhk property is available for sale in New chandigarh mohali, Chandigarh. It has an area of 1640 sqft with a carpet area of 1300 sqft . The property is available at a price of Rs. 65.00 lac . It is a semi-furnished property. It is facing west direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1.0,West,0.0,0,0,1,0,1,1,1,1,1,0,0,9.1,0.0,Chandigarh,Builderfloor,3963.0,6
Dhakoli,1080.0,3200000.0,INR,Unknown,1.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Dhakoli. It has an area of 1080 sqft with a carpet area of 750 sqft . The property is available at a price of Rs. 32.00 lac . It is a semi-furnished property. Its main door is facing southwest direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1.0,Southwest,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,2962.96,0
Dhakoli,855.0,2790000.0,INR,Unknown,1.0,0.0,It has a built-up area of 855 sqft and is priced at Rs. 27.90 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,1.0,Unknown,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,3263.16,0
Sector 22,1400.0,11000000.0,INR,Unknown,1.0,0.0,It has an area of 1400 sqft with a carpet area of 1200 sqft . The property is available at a price of Rs. 1.10 cr . The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ,1.0,Unknown,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,7857.14,0
Dhakoli,1044.0,3950000.0,INR,1.0,0.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in Dhakoli. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,Unknown,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Chandigarh,Builderfloor,3783.52,0
