Customer_ID,Age,Gender,Occupation,City,Monthly_Income,Annual_Income,Family_Size,Current_Housing_Status,Plot_Budget,Preferred_Plot_Size_SqFt,Preferred_Location,Distance_to_City_Center_km,Purpose,Loan_Required,Expected_Purchase_Timeline,Lead_Source,Previous_Enquiry,Site_Visit,Negotiation_Done,Booking_Done,Purchase_Probability,Purchase_Intent,Purchased,Purchase_Value
CUST_12355,21,Male,IT & Software,Mumbai,96700.0,1160400,1,Rented,3340000.0,600.0,Suburbs,22.8,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,No,Yes,Yes,Yes,0.9895,High,Yes,3190000
CUST_15102,43,Male,Real Estate & Construction,Bengaluru,605900.0,7270800,5,Owned Flat/House,33980000.0,3000.0,Suburbs,25.9,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,Yes,Yes,No,No,0.5445,Medium,Yes,33280000
CUST_20495,32,Male,Healthcare,Bengaluru,97900.0,1174800,3,Living with Parents,5700000.0,1200.0,Suburbs,15.3,Self-use,Yes,1-3 years,Google & Social Media Ads,Yes,No,No,No,0.0863,Low,No,0
CUST_14232,19,Female,IT & Software,Hyderabad,84000.0,1008000,1,Living with Parents,4410000.0,1000.0,Periphery / Growth Corridor,25.9,Self-use,Yes,6-12 months,Magicbricks / Real Estate Portal,No,Yes,No,No,0.2517,Low,No,0
CUST_19490,26,Male,Retail & Commerce,Bengaluru,123100.0,1477200,4,Living with Parents,6070000.0,1500.0,Suburbs,23.1,Self-use,Yes,>3 years,Google & Social Media Ads,Yes,Yes,No,No,0.1696,Low,No,0
CUST_16315,29,Female,Self-Employed / Business,Bengaluru,146900.0,1762800,4,Rented,7250000.0,1500.0,Suburbs,28.5,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,No,Yes,Yes,Yes,0.9885,High,Yes,7040000
CUST_14861,51,Male,Unknown,Noida,416200.0,4994400,3,Owned Flat/House,14090000.0,1200.0,City Centre,3.8,Self-use,Yes,0-6 months,Google & Social Media Ads,Yes,Yes,Yes,No,0.9275,High,Yes,13420000
CUST_13457,42,Female,IT & Software,Bengaluru,158900.0,1906800,6,Rented,5520000.0,1200.0,Periphery / Growth Corridor,36.4,Investment,Yes,1-3 years,Magicbricks / Real Estate Portal,Yes,Yes,No,No,0.1969,Low,No,0
CUST_20664,33,Female,BFSI & Banking,Chennai,37800.0,453600,3,Owned Flat/House,2000000.0,1000.0,Periphery / Growth Corridor,42.9,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,No,No,No,No,0.2053,Low,No,0
CUST_20344,32,Female,Self Employed,Delhi,63000.0,756000,2,Rented,2120000.0,1000.0,Periphery / Growth Corridor,28.1,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,Yes,Yes,Yes,No,0.824,High,Yes,2050000
CUST_17983,36,Male,IT & Software,Mumbai,62500.0,750000,6,Rented,2120000.0,600.0,Periphery / Growth Corridor,47.3,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,No,Yes,Yes,No,0.8871,High,Yes,2060000
CUST_12855,25,Female,IT & Software,Noida,46600.0,559200,2,Rented,2680000.0,600.0,Suburbs,28.0,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,No,No,Yes,Yes,0.99,High,Yes,2590000
CUST_11934,34,Male,Government & PSU,Gurugram,166500.0,1998000,3,Living with Parents,8160000.0,1500.0,Suburbs,21.6,Self-use,Yes,6-12 months,Channel Partner / Broker,No,No,No,No,0.1281,Low,No,0
CUST_15156,37,Female,Builder / Contractor,Pune,72400.0,868800,3,Owned Flat/House,2430000.0,600.0,Suburbs,17.5,Investment,Yes,1-3 years,Google & Social Media Ads,Yes,Yes,No,No,0.1976,Low,No,0
CUST_10024,38,Female,Govt,Gurugram,77000.0,919200,4,Living with Parents,3000000.0,600.0,Suburbs,24.5,Self-use,Yes,1-3 years,Google & Social Media Ads,No,No,No,No,0.0794,Low,No,0
CUST_12739,36,Male,IT & Software,Chennai,55700.0,668400,5,Rented,2530000.0,600.0,Suburbs,29.3,Self-use,Yes,1-3 years,Channel Partner / Broker,Yes,No,No,No,0.1808,Low,No,0
CUST_11961,31,Male,Self-Employed / Business,Mumbai,129000.0,1548000,4,Rented,6240000.0,1500.0,Any,17.5,Investment,Yes,6-12 months,Direct Walk-in / Exhibition,Yes,Yes,No,No,0.6447,Medium,Yes,6060000
CUST_11219,26,Male,IT & Software,Noida,33400.0,400800,3,Rented,4730000.0,900.0,Unknown,35.8,Self-use,Yes,1-3 years,Google & Social Media Ads,Yes,Yes,Yes,Yes,0.963,High,Yes,1890000
CUST_13601,53,Unknown,govt job,Bengaluru,154400.0,1852800,4,Rented,7360000.0,1200.0,Suburbs,17.3,Self-use,Yes,>3 years,Channel Partner / Broker,Yes,No,No,No,0.0619,Low,No,0
CUST_19991,40,Male,IT & Software,Pune,122400.0,1468800,4,Rented,6260000.0,1200.0,Within City Limits,15.6,Self-use,Yes,1-3 years,Channel Partner / Broker,No,No,No,No,0.1215,Low,No,0
CUST_18906,37,Male,Business,Pune,230300.0,2763600,5,Living with Parents,9280000.0,1200.0,Suburbs,16.3,Self-use,Yes,6-12 months,Magicbricks / Real Estate Portal,No,No,No,No,0.3331,Low,Yes,9260000
CUST_10816,35,Male,Education,Bengaluru,67500.0,810000,4,Rented,3130000.0,594.0,Suburbs,29.4,Investment,Yes,0-6 months,Google & Social Media Ads,Yes,Yes,Yes,Yes,0.99,High,Yes,2970000
CUST_21003,25,Male,Healthcare,Mumbai,189800.0,2277600,1,Living with Parents,9560000.0,1500.0,Periphery / Growth Corridor,33.6,Self-use,Yes,1-3 years,Google & Social Media Ads,No,No,No,No,0.0712,Low,No,0
CUST_18686,36,Male,bfsi,Pune,159800.0,1917600,4,Owned Flat/House,5180000.0,1000.0,Periphery / Growth Corridor,38.1,Self-use,No,0-6 months,Google & Social Media Ads,Yes,Yes,Yes,No,0.9117,High,Yes,4960000
CUST_16602,29,Female,Healthcare,Chennai,152000.0,1819200,4,Rented,5650000.0,1000.0,Periphery / Growth Corridor,40.1,Self-use,No,6-12 months,Magicbricks / Real Estate Portal,No,No,No,No,0.1419,Low,No,0
CUST_16586,34,Male,IT & Software,Chennai,70000.0,846000,3,Rented,2610000.0,600.0,Suburbs,26.8,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,Yes,No,0.9595,High,Yes,2480000
CUST_18548,44,Male,IT & Software,Mumbai,135900.0,1630800,3,Rented,4360000.0,1000.0,Periphery / Growth Corridor,45.6,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,Yes,No,No,No,0.1869,Low,No,0
CUST_17266,69,Female,IT,Pune,355000.0,4260000,3,Rented,11770000.0,1200.0,Suburbs,16.2,Investment,Yes,1-3 years,Channel Partner / Broker,Yes,No,No,No,0.1105,Low,No,0
CUST_12373,44,Female,IT & Software,Bengaluru,83600.0,1003200,4,Living with Parents,3280000.0,900.0,Suburbs,27.4,Self-use,Yes,6-12 months,Google & Social Media Ads,Yes,Yes,No,No,0.6478,Medium,Yes,3240000
CUST_13458,28,Male,Retail & Commerce,Mmr,41100.0,493200,3,Owned Flat/House,2000000.0,900.0,Within City Limits,9.3,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,Yes,No,0.9069,High,Yes,1920000
CUST_10131,39,Male,Healthcare,Chennai,53200.0,638400,4,Rented,2000000.0,900.0,Suburbs,23.3,Investment,Yes,1-3 years,Magicbricks / Real Estate Portal,Yes,Yes,No,No,0.2376,Low,No,0
CUST_16985,31,Male,BFSI & Banking,Delhi,81200.0,974400,3,Rented,3830000.0,900.0,Periphery / Growth Corridor,36.5,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,Yes,Yes,No,No,0.2581,Low,No,0
CUST_14394,18,Female,Self-Employed / Business,Pune,70700.0,848400,1,Rented,3420000.0000000005,600.0,Suburbs,19.6,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,No,Yes,No,No,0.1531,Low,Yes,3410000
CUST_19388,31,Male,Self-Employed / Business,Delhi,206900.0,2482800,4,Rented,9280000.0,1800.0,City Centre,8.9,Self-use,Yes,0-6 months,Print / Newspaper Ad,Yes,Yes,Yes,Yes,0.99,High,Yes,8930000
CUST_12853,49,Male,Banking,Hyderabad,137300.0,1647600,4,Rented,7740000.0,1197.0,Within City Limits,15.1,Self-use,Yes,1-3 years,Channel Partner / Broker,No,No,No,No,0.0667,Low,No,0
CUST_16921,51,Female,IT & Software,Delhi,214600.0,2575200,2,Living with Parents,10800000.0,1800.0,Periphery / Growth Corridor,35.0,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,No,No,No,0.4248,Medium,Yes,10480000
CUST_14156,35,Male,Government & PSU,Ahmedabad,114900.0,1378800,3,Living with Parents,4950000.0,1200.0,Within City Limits,17.4,Investment,No,0-6 months,Google & Social Media Ads,Yes,No,No,No,0.5023,Medium,Yes,4830000
CUST_21253,38,Male,Real Estate & Construction,Bengaluru,235500.0,2826000,5,Rented,12080000.0,1200.0,Periphery / Growth Corridor,42.6,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,No,No,No,No,0.0857,Low,No,0
CUST_13667,29,Male,Self-Employed / Business,Bengaluru,254600.0,3055200,3,Rented,10290000.0,1800.0,City Centre,5.3,Self-use,Yes,0-6 months,Channel Partner / Broker,No,Yes,No,No,0.7161,High,Yes,10250000
CUST_18516,43,Male,Government & PSU,Mumbai,212700.0,2552400,4,Living with Parents,11740000.0,1800.0,Suburbs,17.1,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,Yes,Yes,Yes,Yes,0.9895,High,Yes,11040000
CUST_20591,34,Male,Manufacturing & Engineering,Gurugram,112600.0,1351200,3,Living with Parents,6300000.0,1500.0,Periphery / Growth Corridor,27.6,Self-use,Yes,1-3 years,Print / Newspaper Ad,Yes,No,No,No,0.1284,Low,No,0
CUST_21886,44,Female,Banker,Pune,268100.0,3217200,4,Owned Flat/House,15190000.0,1800.0,Within City Limits,22.8,Investment,Yes,6-12 months,Print / Newspaper Ad,No,No,No,No,0.0816,Low,Yes,15100000
CUST_20965,31,Male,IT & Software,Bengaluru,68800.0,825600,2,Rented,3150000.0,1200.0,Suburbs,18.3,Self-use,Yes,1-3 years,Direct Walk-in / Exhibition,No,No,No,No,0.1262,Low,Yes,3140000
CUST_20671,39,Male,PSU Employee,Gurugram,81100.0,973200,3,Living with Parents,4650000.0,1200.0,City Centre,22.8,Self-use,Yes,0-6 months,Direct Walk-in / Exhibition,Yes,Yes,Yes,Yes,0.99,High,Yes,4530000
CUST_14078,32,Male,IT & Software,Ahmedabad,151200.0,1814400,4,Rented,7140000.000000001,1200.0,Suburbs,19.0,Investment,No,0-6 months,Magicbricks / Real Estate Portal,No,Yes,No,No,0.6107,Medium,Yes,7050000
CUST_15044,44,Male,IT & Software,Delhi,445000.0,5344800,4,Owned Flat/House,25020000.0,3000.0,Within City Limits,15.2,Investment,Yes,1-3 years,Magicbricks / Real Estate Portal,No,No,No,No,0.0607,Low,No,0
CUST_15799,30,Male,Healthcare,Noida,76600.0,919200,4,Owned Flat/House,3020000.0,900.0,Unknown,17.2,Investment,No,0-6 months,Magicbricks / Real Estate Portal,No,No,No,No,0.2966,Low,No,3020000
CUST_11792,40,Male,Manufacturing & Engineering,Mumbai,152600.0,1831200,5,Living with Parents,5740000.0,1500.0,Within City Limits,22.8,Investment,Yes,6-12 months,Channel Partner / Broker,No,Yes,No,No,0.645,Medium,No,0
CUST_14331,50,Male,Self-Employed / Business,Gurugram,129000.0,1548000,4,Rented,4730000.0,1800.0,Suburbs,16.2,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,No,No,0.7687,High,Yes,5410000
CUST_18217,35,Male,IT,Mumbai,265100.0,3181200,4,Living with Parents,9270000.0,1800.0,Unknown,25.3,Self-use,Yes,0-6 months,Google & Social Media Ads,No,Yes,No,No,0.8313,High,Yes,9080000
CUST_20845,37,Female,Self-Employed / Business,Noida,98200.0,1178400,3,Owned Flat/House,5280000.0,1500.0,Within City Limits,11.9,Self-use,No,6-12 months,Google & Social Media Ads,No,No,No,No,0.108,Low,No,0
CUST_21693,34,Male,Self-Employed / Business,Delhi,211900.0,2542800,2,Rented,7760000.0,1200.0,Periphery / Growth Corridor,27.3,Self-use,Yes,6-12 months,Magicbricks / Real Estate Portal,No,No,No,No,0.2983,Low,Yes,7580000
CUST_13557,32,Male,Education,Mmr,35200.0,422400,3,Living with Parents,2000000.0,1200.0,Unknown,10.9,Self-use,Yes,6-12 months,Channel Partner / Broker,No,No,No,No,0.1924,Low,No,0
CUST_14307,32,Male,Healthcare,Gurugram,69300.0,831600,4,Rented,2580000.0,600.0,City Centre,4.5,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,No,No,No,No,0.1046,Low,No,0
CUST_15080,27,Female,Unknown,Ahmedabad,70600.0,847200,4,Living with Parents,2740000.0,900.0,Periphery / Growth Corridor,31.2,Investment,Yes,1-3 years,Google & Social Media Ads,Yes,No,No,No,0.0968,Low,No,0
CUST_19085,37,Unknown,Doctor,Delhi,95100.0,1141200,6,Rented,4120000.0,1200.0,Suburbs,20.8,Self-use,Yes,6-12 months,Print / Newspaper Ad,Yes,Yes,Yes,Yes,0.99,High,Yes,3940000
CUST_21894,43,Male,Manufacturing & Engineering,Kolkata,28500.0,342000,5,Owned Flat/House,2000000.0,600.0,Within City Limits,15.7,Self-use,Yes,1-3 years,Google & Social Media Ads,No,No,No,No,0.0468,Low,No,0
CUST_14000,37,Male,BFSI & Banking,Mumbai,183000.0,2196000,4,Rented,9560000.0,1200.0,City Centre,3.8,Self-use,Yes,0-6 months,Direct Walk-in / Exhibition,No,Yes,No,No,0.38,Medium,No,0
CUST_12894,26,Female,Retail & Commerce,Pune,64900.0,778800,4,Rented,2110000.0,1200.0,Suburbs,20.3,Investment,Yes,1-3 years,Google & Social Media Ads,No,No,No,No,0.0351,Low,No,0
CUST_16518,70,Unknown,Healthcare,Bengaluru,94100.0,1129200,5,Owned Flat/House,4930000.0,1000.0,Suburbs,26.3,Self-use,Yes,0-6 months,Channel Partner / Broker,Yes,Yes,Yes,Yes,0.99,High,Yes,4760000
CUST_14040,51,Male,Education,Hyderabad,182000.0,2179200,6,Rented,10270000.0,1500.0,Within City Limits,12.2,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,No,Yes,No,Yes,0.9638,High,Yes,10030000
CUST_21289,42,Male,Education,Delhi,112000.0,1344000,4,Rented,5630000.0,1800.0,Periphery / Growth Corridor,32.3,Self-use,Yes,>3 years,Google & Social Media Ads,No,No,No,No,0.0552,Low,No,0
CUST_16114,34,Female,IT & Software,Hyderabad,94800.0,1137600,3,Rented,3920000.0000000005,600.0,Suburbs,26.3,Self-use,Yes,6-12 months,Magicbricks / Real Estate Portal,No,No,No,No,0.2572,Low,No,0
CUST_13063,26,Male,Healthcare,Noida,51000.0,612000,3,Rented,2260000.0,1000.0,Suburbs,18.1,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,Yes,No,0.9244,High,No,0
CUST_13716,27,Male,Unknown,Mumbai,28000.000000000004,336000,2,Living with Parents,2000000.0,900.0,Periphery / Growth Corridor,44.7,Investment,Yes,6-12 months,Print / Newspaper Ad,Yes,Yes,Yes,No,0.7839,High,Yes,1940000
CUST_17337,37,Female,IT & Software,Mumbai,210500.0,2526000,5,Rented,4730000.0,1200.0,Suburbs,29.4,Self-use,Yes,6-12 months,Magicbricks / Real Estate Portal,Yes,No,No,No,0.2492,Low,No,0
CUST_14521,37,Male,Healthcare,Bengaluru,188000.0,2256000,4,Rented,7490000.0,1500.0,Periphery / Growth Corridor,45.5,Self-use,Yes,6-12 months,Direct Walk-in / Exhibition,No,Yes,No,No,0.4065,Medium,Yes,7390000
CUST_10053,37,Male,Doctor,Chennai,79700.0,956400,3,Rented,3070000.0,600.0,Suburbs,25.6,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,No,No,No,No,0.4563,Medium,Yes,3070000
CUST_16162,34,Male,IT & Software,Noida,114999.99999999999,1380000,2,Rented,5160000.0,1000.0,Periphery / Growth Corridor,34.0,Self-use,Yes,>3 years,Magicbricks / Real Estate Portal,No,No,No,No,0.0372,Low,No,0
CUST_13297,61,Male,Retail & Commerce,Noida,317200.0,3806400,2,Rented,4730000.0,1500.0,Periphery / Growth Corridor,22.8,Investment,Yes,0-6 months,Google & Social Media Ads,Yes,Yes,No,No,0.6547,High,No,0
CUST_13468,41,Male,it / software,Hyderabad,190400.0,2284800,3,Living with Parents,8520000.0,2400.0,Unknown,29.1,Investment,Yes,1-3 years,Google & Social Media Ads,No,Yes,Yes,No,0.7619,High,No,0
CUST_12059,43,Male,Self-Employed / Business,Pune,115500.0,1386000,4,Rented,6790000.0,1200.0,City Centre,6.5,Investment,No,0-6 months,Google & Social Media Ads,No,No,No,No,0.2062,Low,No,0
CUST_12926,43,Female,Manufacturing & Engineering,Bengaluru,92300.0,1107600,5,Rented,3590000.0,900.0,Periphery / Growth Corridor,43.3,Self-use,No,1-3 years,Direct Walk-in / Exhibition,Yes,No,No,No,0.178,Low,No,0
CUST_10703,43,Male,BFSI & Banking,Chennai,137000.0,1644000,4,Living with Parents,7710000.0,1500.0,Within City Limits,10.0,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,Yes,Yes,0.99,High,Yes,7360000
CUST_19675,63,Male,Retired,Pune,125700.0,1508400,6,Rented,5860000.0,1000.0,Suburbs,23.8,Investment,Yes,>3 years,Google & Social Media Ads,Yes,No,No,No,0.0321,Low,No,0
CUST_14288,44,Male,Self-Employed / Business,Hyderabad,191700.0,2300400,4,Rented,9840000.0,1500.0,Periphery / Growth Corridor,31.5,Investment,No,1-3 years,Channel Partner / Broker,No,Yes,No,No,0.1469,Low,Yes,9680000
CUST_15186,37,Male,Manufacturing & Engineering,Noida,57200.0,686400,3,Rented,3190000.0,600.0,Suburbs,28.3,Investment,Yes,6-12 months,Google & Social Media Ads,Yes,No,No,No,0.1361,Low,No,0
CUST_18501,69,Male,Retired,Delhi,134600.0,1615200,6,Owned Flat/House,5220000.0,1800.0,Within City Limits,10.0,Self-use,No,>3 years,Print / Newspaper Ad,No,No,No,No,0.0419,Low,No,0
CUST_21000,27,Male,IT & Software,Mumbai,28000.000000000004,336000,4,Living with Parents,2000000.0,1000.0,City Centre,2.7,Investment,No,6-12 months,Google & Social Media Ads,Yes,No,No,No,0.1265,Low,Yes,1990000
CUST_16901,26,Male,Government & PSU,Gurugram,28000.0,336000,2,Living with Parents,2000000.0,900.0,Periphery / Growth Corridor,47.8,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,Yes,No,No,No,0.2039,Low,No,0
CUST_16184,50,Female,IT,Chennai,332400.0,3988800,3,Living with Parents,17920000.0,4000.0,Within City Limits,15.0,Self-use,Yes,1-3 years,Direct Walk-in / Exhibition,No,No,No,No,0.0459,Low,No,0
CUST_17218,37,Male,Self-Employed / Business,Kolkata,250700.0,3008400,3,Rented,4730000.0,2400.0,Suburbs,18.0,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,Yes,No,0.9759,High,Yes,9940000
CUST_20311,44,Male,IT & Software,Gurugram,217000.0,2604000,3,Owned Flat/House,9500000.0,1800.0,Suburbs,22.9,Self-use,Yes,0-6 months,Google & Social Media Ads,No,Yes,Yes,Yes,0.99,High,Yes,9280000
CUST_15442,36,Male,govt job,Hyderabad,101100.0,1213200,4,Living with Parents,4740000.0,1200.0,City Centre,6.9,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,No,No,No,0.2675,Low,No,0
CUST_21715,36,Male,Self-Employed / Business,Noida,301500.0,3618000,4,Rented,17350000.0,2400.0,Within City Limits,8.9,Self-use,Yes,1-3 years,Channel Partner / Broker,No,No,No,No,0.0732,Low,No,0
CUST_10392,37,Female,Manufacturing & Engineering,Hyderabad,45500.0,546000,4,Owned Flat/House,2020000.0,600.0,Suburbs,21.5,Investment,No,>3 years,Google & Social Media Ads,Yes,No,No,No,0.0297,Low,No,0
CUST_21919,36,Male,IT & Software,Mumbai,143500.0,1722000,4,Rented,4730000.0,1200.0,Within City Limits,16.1,Self-use,Yes,6-12 months,Print / Newspaper Ad,No,No,No,No,0.1153,Low,No,0
CUST_11266,40,Male,Healthcare,Mumbai,157300.0,1887600,4,Living with Parents,7690000.0,1200.0,Periphery / Growth Corridor,33.5,Self-use,Yes,1-3 years,Google & Social Media Ads,No,Yes,No,No,0.3054,Low,Yes,7630000
CUST_10421,54,Female,Self-Employed / Business,Mumbai,500400.0,6004800,3,Owned Flat/House,26950000.0,2400.0,Suburbs,17.3,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,No,No,No,No,0.0897,Low,No,0
CUST_11061,42,Male,Healthcare,Unknown,44900.0,538800,3,Living with Parents,2590000.0,1197.0,Periphery / Growth Corridor,39.6,Self-use,Yes,>3 years,Channel Partner / Broker,No,No,No,No,0.0195,Low,No,0
CUST_18380,36,Unknown,Doctor,Gurugram,86500.0,1038000,4,Living with Parents,5030000.0,1000.0,Within City Limits,12.1,Self-use,No,1-3 years,Magicbricks / Real Estate Portal,No,Yes,No,No,0.2654,Low,No,0
CUST_14880,33,Female,IT & Software,Kolkata,69800.0,837600,2,Living with Parents,2900000.0,1000.0,Periphery / Growth Corridor,45.9,Investment,Yes,0-6 months,Google & Social Media Ads,Yes,No,No,No,0.5096,Medium,Yes,2860000
CUST_12146,38,Male,BFSI & Banking,Bengaluru,70800.0,849600,4,Rented,4240000.0,1200.0,Periphery / Growth Corridor,34.3,Investment,Yes,0-6 months,Google & Social Media Ads,No,No,No,No,0.2253,Low,Yes,4220000
CUST_19553,40,Male,BFSI & Banking,Mumbai,126300.0,1515600,5,Rented,4340000.0,1200.0,Suburbs,25.6,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,No,Yes,Yes,No,0.932,High,Yes,4140000
CUST_17915,27,Female,IT & Software,Ahmedabad,37700.0,452400,2,Rented,2000000.0,600.0,Suburbs,22.8,Self-use,Yes,6-12 months,Print / Newspaper Ad,Yes,Yes,No,No,0.3997,Medium,Yes,1970000
CUST_21530,47,Unknown,BFSI & Banking,Delhi,373000.0,4476000,4,Rented,16550000.0,1800.0,Suburbs,18.4,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,Yes,Yes,Yes,Yes,0.99,High,No,15860000
CUST_15051,27,Female,IT & Software,Delhi,102400.0,1228800,3,Living with Parents,5750000.0,1200.0,Periphery / Growth Corridor,42.0,Investment,Yes,6-12 months,Google & Social Media Ads,Yes,No,No,No,0.1117,Low,No,0
CUST_12049,31,Male,Retail & Commerce,Gurugram,48700.0,584400,3,Rented,2490000.0,900.0,Suburbs,15.6,Self-use,Yes,1-3 years,Channel Partner / Broker,No,Yes,Yes,No,0.7414,High,No,0
CUST_14437,35,Male,Self-Employed / Business,Noida,179100.0,2149200,5,Owned Flat/House,8450000.0,1500.0,Suburbs,23.6,Self-use,Yes,1-3 years,Channel Partner / Broker,No,No,No,No,0.1009,Low,No,0
CUST_13118,50,Male,Healthcare,Bengaluru,137200.0,1646400,3,Owned Flat/House,6080000.0,1200.0,Suburbs,19.5,Investment,No,1-3 years,Channel Partner / Broker,Yes,No,No,No,0.1685,Low,No,0
CUST_19985,31,Male,Unknown,Pune,85100.0,1021200,3,Living with Parents,3020000.0,600.0,Within City Limits,15.4,Self-use,No,0-6 months,Direct Walk-in / Exhibition,No,Yes,Yes,No,0.9371,High,Yes,2890000
CUST_12891,34,Female,IT,Mumbai,115200.0,1382400,3,Owned Flat/House,3670000.0,1000.0,City Centre,7.2,Self-use,Yes,6-12 months,Direct Walk-in / Exhibition,No,No,No,No,0.309,Low,No,0
CUST_10189,45,Female,Education,Noida,70400.0,844800,4,Living with Parents,3150000.0,1200.0,Periphery / Growth Corridor,32.0,Investment,Yes,0-6 months,Google & Social Media Ads,No,No,No,No,0.2446,Low,Yes,3060000
