Customer_ID,Age,Gender,Occupation,City,Monthly_Income,Annual_Income,Family_Size,Current_Housing_Status,Plot_Budget,Preferred_Plot_Size_SqFt,Preferred_Location,Distance_to_City_Center_km,Purpose,Loan_Required,Expected_Purchase_Timeline,Lead_Source,Enquiry_Date,Previous_Enquiry,Site_Visit,Negotiation_Done,Booking_Done,Purchase_Probability,Purchase_Intent,Purchased,Purchase_Value,Outlier_Flag
CUST_21488,56,Male,IT & Software,Bengaluru,372000.0,4464000.0,5,Rented,19650000.0,3000.0,Periphery / Growth Corridor,38.2,Self-use,0,6-12 months,Print / Newspaper Ad,2025-01-08,1,1,1,1,0.7998,High,1,19170000.0,Inlier
CUST_10747,25,Male,Manufacturing & Engg,Kolkata,57900.0,694800.0,2,Living with Parents,3360000.0,999.0,Suburbs,23.36140150725718,Investment,0,0-6 months,Magicbricks / Real Estate Portal,2024-02-11,1,1,0,1,0.9336,High,1,3290000.0,Inlier
CUST_17775,38,Female,IT & Software,Noida,85200.0,1022400.0,3,Living with Parents,3130000.0,900.0,Suburbs,17.0,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2024-09-22,0,0,0,0,0.1491,Low,0,0.0,Inlier
CUST_11047,46,Female,Self-Employed / Business,Hyderabad,178189.92484113475,2138279.098093617,5,Owned Flat/House,5080000.0,1500.0,Suburbs,22.3,Self-use,1,0-6 months,Channel Partner / Broker,2025-04-21,0,0,0,0,0.3581,Medium,0,0.0,Inlier
CUST_12355,21,Male,IT & Software,Mumbai,96700.0,1160400.0,1,Rented,3340000.0,600.0,Suburbs,17.6,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2024-04-08,0,1,1,1,0.9895,High,1,3190000.0,Inlier
CUST_15102,43,Male,Real Estate & Construction,Bengaluru,535803.0000000001,6429636.000000002,5,Owned Flat/House,32938671.26011561,3000.0,Suburbs,25.9,Investment,1,6-12 months,Magicbricks / Real Estate Portal,2025-02-25,1,1,0,1,0.5445,Medium,1,33280000.0,Outlier
CUST_20495,32,Male,Healthcare & Doctor,Bengaluru,97900.0,1174800.0,3,Living with Parents,5700000.0,1200.0,Suburbs,15.3,Self-use,1,1-3 years,Google & Social Media Ads,2024-07-05,1,1,0,0,0.0863,Low,0,0.0,Inlier
CUST_14232,19,Female,IT & Software,Hyderabad,84000.0,1008000.0,1,Living with Parents,4410000.0,1000.0,Periphery / Growth Corridor,25.9,Self-use,1,6-12 months,Magicbricks / Real Estate Portal,2024-05-09,0,1,0,0,0.2517,Low,0,0.0,Inlier
CUST_19490,26,Male,Retail & Commerce,Bengaluru,123100.0,1477200.0,4,Living with Parents,6070000.0,1220.4732682779627,Suburbs,23.1,Self-use,1,>3 years,Google & Social Media Ads,2024-09-11,1,1,0,0,0.1696,Low,0,0.0,Inlier
CUST_16315,29,Female,Self-Employed / Business,Bengaluru,143732.1476637007,1724785.7719644085,4,Rented,7250000.0,1500.0,Suburbs,28.5,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2024-07-31,0,1,1,1,0.9885,High,1,7040000.0,Inlier
CUST_14861,51,Male,IT & Software,Noida,416200.0,4994400.0,3,Owned Flat/House,14090000.0,1200.0,City Centre,3.8,Self-use,1,0-6 months,Google & Social Media Ads,2024-03-30,1,1,1,1,0.9275,High,1,13420000.0,Inlier
CUST_13457,42,Female,IT & Software,Bengaluru,158900.0,1906800.0,6,Rented,5520000.0,1200.0,Periphery / Growth Corridor,36.4,Investment,1,1-3 years,Magicbricks / Real Estate Portal,2025-03-01,1,1,0,0,0.1969,Low,0,0.0,Inlier
CUST_20664,33,Female,BFSI & Banking,Chennai,37800.0,453600.0,3,Owned Flat/House,2000000.0,1000.0,Periphery / Growth Corridor,42.9,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2025-02-23,0,0,0,0,0.2053,Low,0,0.0,Inlier
CUST_20344,32,Female,Self-Employed / Business,Delhi,63000.0,756000.0,2,Rented,2120000.0,1000.0,Periphery / Growth Corridor,28.1,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2024-04-27,1,1,1,1,0.824,High,1,2050000.0,Inlier
CUST_17983,36,Male,IT & Software,Mumbai,124201.30606785382,1490415.6728142458,6,Rented,2120000.0,1231.3165884727396,Periphery / Growth Corridor,47.2,Investment,1,6-12 months,Magicbricks / Real Estate Portal,2025-06-22,0,1,1,1,0.8871,High,1,2060000.0,Inlier
CUST_12855,25,Female,IT & Software,Noida,46600.0,559200.0,2,Rented,2680000.0,600.0,Suburbs,28.0,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2024-05-26,0,1,1,1,0.99,High,1,2590000.0,Inlier
CUST_11934,34,Male,Government & PSU,Gurugram,166500.0,1998000.0,3,Living with Parents,8160000.0,1500.0,Suburbs,21.6,Self-use,1,6-12 months,Channel Partner / Broker,2024-05-03,0,0,0,0,0.1281,Low,0,0.0,Inlier
CUST_15156,37,Female,IT & Software,Pune,39602.762557982554,475233.15069579065,3,Owned Flat/House,2430000.0,600.0,Suburbs,17.5,Investment,1,1-3 years,Google & Social Media Ads,2025-09-01,1,1,0,0,0.1976,Low,0,0.0,Inlier
CUST_10024,38,Female,Government & PSU,Gurugram,77000.0,924000.0,4,Living with Parents,3000000.0,600.0,Suburbs,24.5,Self-use,1,1-3 years,Google & Social Media Ads,2024-12-09,0,0,0,0,0.0794,Low,0,0.0,Inlier
CUST_12739,36,Male,IT & Software,Chennai,55700.0,668400.0,5,Rented,2530000.0,600.0,Suburbs,29.3,Self-use,1,1-3 years,Channel Partner / Broker,2024-12-31,1,1,0,0,0.1808,Low,0,0.0,Inlier
CUST_11961,31,Male,Self-Employed / Business,Mumbai,148213.05841047733,1778556.7009257278,4,Rented,6240000.0,1500.0,Suburbs,17.5,Investment,1,6-12 months,Direct Walk-in / Exhibition,2024-06-11,1,1,0,1,0.6447,Medium,1,6060000.0,Inlier
CUST_11219,26,Male,IT & Software,Noida,33400.0,400800.0,3,Rented,6906527.083406689,900.0,Suburbs,35.8,Self-use,1,1-3 years,Google & Social Media Ads,2025-07-04,1,1,1,1,0.963,High,1,1890000.0,Inlier
CUST_13601,53,Male,Government & PSU,Bengaluru,154400.0,1852800.0,4,Rented,7360000.0,1200.0,Suburbs,17.3,Self-use,1,>3 years,Channel Partner / Broker,2025-04-19,1,1,0,0,0.0619,Low,0,0.0,Inlier
CUST_19991,40,Male,IT & Software,Pune,122400.0,1468800.0,4,Rented,6260000.0,1241.8099067035919,Within City Limits,15.6,Self-use,1,1-3 years,Channel Partner / Broker,2024-01-14,0,0,0,0,0.1215,Low,0,0.0,Inlier
CUST_18906,45,Male,Self-Employed / Business,Pune,230300.0,2763600.0,5,Living with Parents,9280000.0,1200.0,Suburbs,16.3,Self-use,1,6-12 months,Magicbricks / Real Estate Portal,2024-11-21,0,0,0,1,0.3331,Low,1,9260000.0,Inlier
CUST_10816,35,Male,Education & Academic,Bengaluru,67500.0,810000.0,4,Rented,3130000.0,594.0,Suburbs,29.4,Investment,1,0-6 months,Google & Social Media Ads,2025-04-19,1,1,1,1,0.99,High,1,2970000.0,Inlier
CUST_21003,25,Male,Healthcare & Doctor,Mumbai,189800.0,2277600.0,1,Living with Parents,9560000.0,1500.0,Periphery / Growth Corridor,33.6,Self-use,1,1-3 years,Google & Social Media Ads,2024-09-10,0,0,0,0,0.0712,Low,0,0.0,Inlier
CUST_18686,36,Male,BFSI & Banking,Pune,159800.0,1917600.0,4,Owned Flat/House,5180000.0,1000.0,Periphery / Growth Corridor,38.1,Self-use,0,0-6 months,Google & Social Media Ads,2025-02-28,1,1,1,1,0.9117,High,1,4960000.0,Inlier
CUST_16602,29,Female,Healthcare & Doctor,Chennai,152000.0,1824000.0,4,Rented,5650000.0,1000.0,Periphery / Growth Corridor,40.1,Self-use,0,6-12 months,Magicbricks / Real Estate Portal,2024-12-16,0,0,0,0,0.1419,Low,0,0.0,Inlier
CUST_16586,34,Male,IT & Software,Chennai,70000.0,840000.0,3,Rented,2610000.0,600.0,Suburbs,26.8,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2024-01-24,1,1,1,1,0.9595,High,1,2480000.0,Inlier
CUST_18548,44,Male,IT & Software,Mumbai,135900.0,1630800.0,3,Rented,4360000.0,1000.0,Periphery / Growth Corridor,45.6,Investment,1,6-12 months,Magicbricks / Real Estate Portal,2024-07-26,1,1,0,0,0.1869,Low,0,0.0,Inlier
CUST_17266,69,Female,IT & Software,Pune,355000.0,4260000.0,3,Rented,11770000.0,1200.0,Suburbs,16.2,Investment,1,1-3 years,Channel Partner / Broker,2024-06-02,1,1,0,0,0.1105,Low,0,0.0,Inlier
CUST_12373,44,Female,IT & Software,Bengaluru,83600.0,1003200.0,4,Living with Parents,3280000.0,1086.524441413067,Suburbs,27.4,Self-use,1,6-12 months,Google & Social Media Ads,2024-07-08,1,1,0,1,0.6478,Medium,1,3240000.0,Inlier
CUST_13458,28,Male,Retail & Commerce,Mumbai,41100.0,493200.0,3,Owned Flat/House,2000000.0,900.0,Within City Limits,9.3,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2024-07-13,1,1,1,1,0.9069,High,1,1920000.0,Inlier
CUST_10131,39,Male,Healthcare & Doctor,Chennai,53200.0,638400.0,4,Rented,2000000.0,900.0,Suburbs,23.3,Investment,1,1-3 years,Magicbricks / Real Estate Portal,2024-12-21,1,1,0,0,0.2376,Low,0,0.0,Inlier
CUST_16985,31,Male,BFSI & Banking,Delhi,81200.0,974400.0,3,Rented,3830000.0,900.0,Periphery / Growth Corridor,36.5,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2025-01-16,1,1,0,0,0.2581,Low,0,0.0,Inlier
CUST_14394,18,Female,Self-Employed / Business,Pune,70700.0,848400.0,1,Rented,3420000.0000000005,600.0,Suburbs,19.6,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2024-07-11,0,1,0,1,0.1531,Low,1,3410000.0,Inlier
CUST_19388,31,Male,Self-Employed / Business,Delhi,206900.0,2482800.0,4,Rented,9280000.0,1800.0,City Centre,8.9,Self-use,1,0-6 months,Print / Newspaper Ad,2024-10-31,1,1,1,1,0.99,High,1,8930000.0,Inlier
CUST_12853,49,Male,BFSI & Banking,Hyderabad,137300.0,1647600.0,4,Rented,7740000.0,1197.0,Within City Limits,15.1,Self-use,1,1-3 years,Channel Partner / Broker,2025-05-28,0,0,0,0,0.0667,Low,0,0.0,Inlier
CUST_16921,51,Female,IT & Software,Delhi,233435.92654982262,2801231.1185978716,2,Living with Parents,10800000.0,1800.0,Periphery / Growth Corridor,35.0,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2024-09-30,1,1,0,1,0.4248,Medium,1,10480000.0,Inlier
CUST_14156,35,Male,Government & PSU,Ahmedabad,114900.0,1378800.0,3,Living with Parents,4950000.0,1202.4000892679067,Within City Limits,17.4,Investment,0,0-6 months,Google & Social Media Ads,2024-09-26,1,1,0,1,0.5023,Medium,1,4830000.0,Inlier
CUST_21253,38,Male,Real Estate & Construction,Bengaluru,235500.0,2826000.0,5,Rented,12080000.0,1685.7287788762628,Periphery / Growth Corridor,42.6,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2025-02-15,0,0,0,0,0.0857,Low,0,0.0,Inlier
CUST_13667,29,Male,Self-Employed / Business,Bengaluru,254600.0,3055200.0,3,Rented,10290000.0,1800.0,City Centre,5.3,Self-use,1,0-6 months,Channel Partner / Broker,2024-03-09,0,1,0,1,0.7161,High,1,10250000.0,Inlier
CUST_18516,43,Male,Government & PSU,Mumbai,214652.49252250348,2575829.910270042,4,Living with Parents,11740000.0,1800.0,Suburbs,17.1,Investment,1,6-12 months,Magicbricks / Real Estate Portal,2024-12-01,1,1,1,1,0.9895,High,1,11040000.0,Inlier
CUST_20591,34,Male,Manufacturing & Engg,Gurugram,112600.0,1351200.0,3,Living with Parents,6300000.0,1500.0,Periphery / Growth Corridor,27.6,Self-use,1,1-3 years,Print / Newspaper Ad,2024-08-14,1,1,0,0,0.1284,Low,0,0.0,Inlier
CUST_21886,44,Female,BFSI & Banking,Pune,268100.0,3217200.0,4,Owned Flat/House,15190000.0,1800.0,Within City Limits,23.526461026811784,Investment,1,6-12 months,Print / Newspaper Ad,2024-08-27,0,0,0,1,0.0816,Low,1,15100000.0,Inlier
CUST_20965,31,Male,IT & Software,Bengaluru,68800.0,825600.0,2,Rented,3150000.0,1200.0,Suburbs,18.3,Self-use,1,1-3 years,Direct Walk-in / Exhibition,2025-02-16,0,0,0,1,0.1262,Low,1,3140000.0,Inlier
CUST_20671,39,Male,Government & PSU,Gurugram,81100.0,973200.0,3,Living with Parents,4650000.0,1200.0,City Centre,23.339005688174044,Self-use,1,0-6 months,Direct Walk-in / Exhibition,2024-05-14,1,1,1,1,0.99,High,1,4530000.0,Inlier
CUST_14078,32,Male,IT & Software,Ahmedabad,117865.93326198115,1414391.1991437739,4,Rented,7140000.000000001,1200.0,Suburbs,19.0,Investment,0,0-6 months,Magicbricks / Real Estate Portal,2024-11-25,1,1,0,1,0.6107,Medium,1,7050000.0,Inlier
CUST_15044,44,Male,IT & Software,Delhi,445000.0,5340000.0,4,Owned Flat/House,25020000.0,3000.0,Within City Limits,15.2,Investment,1,1-3 years,Magicbricks / Real Estate Portal,2024-01-01,0,0,0,0,0.0607,Low,0,0.0,Inlier
CUST_15799,30,Male,Healthcare & Doctor,Noida,76600.0,919200.0,4,Owned Flat/House,3020000.0,900.0,Suburbs,17.2,Investment,0,0-6 months,Magicbricks / Real Estate Portal,2024-03-27,0,0,0,0,0.2966,Low,0,0.0,Inlier
CUST_11792,40,Male,Manufacturing & Engg,Mumbai,152600.0,1831200.0,5,Living with Parents,5740000.0,1500.0,Within City Limits,23.381623296454542,Investment,1,6-12 months,Channel Partner / Broker,2024-10-05,0,1,0,0,0.645,Medium,0,0.0,Inlier
CUST_14331,50,Male,Self-Employed / Business,Gurugram,129000.0,1548000.0,4,Rented,11762658.408970825,1283.2647739305567,Suburbs,16.2,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2024-06-05,1,1,0,1,0.7687,High,1,5410000.0,Inlier
CUST_18217,35,Male,IT & Software,Mumbai,265100.0,3181200.0,4,Living with Parents,9270000.0,1800.0,Suburbs,25.3,Self-use,1,0-6 months,Google & Social Media Ads,2025-05-03,0,1,1,1,0.8313,High,1,9080000.0,Inlier
CUST_20845,39,Female,Self-Employed / Business,Noida,98200.0,1178400.0,3,Owned Flat/House,5280000.0,1500.0,Within City Limits,11.9,Self-use,0,6-12 months,Google & Social Media Ads,2025-01-15,0,0,0,0,0.108,Low,0,0.0,Inlier
CUST_21693,34,Male,Self-Employed / Business,Delhi,211900.0,2542800.0,2,Rented,7760000.0,1200.0,Periphery / Growth Corridor,27.3,Self-use,1,6-12 months,Magicbricks / Real Estate Portal,2024-10-15,0,0,0,1,0.2983,Low,1,7580000.0,Inlier
CUST_13557,32,Male,Education & Academic,Mumbai,35200.0,422400.0,3,Living with Parents,2000000.0,1200.0,Suburbs,10.9,Self-use,1,6-12 months,Channel Partner / Broker,2024-09-12,0,0,0,0,0.1924,Low,0,0.0,Inlier
CUST_14307,32,Male,Healthcare & Doctor,Gurugram,69300.0,831600.0,4,Rented,2580000.0,600.0,City Centre,4.5,Self-use,1,1-3 years,Magicbricks / Real Estate Portal,2025-06-26,0,0,0,0,0.1046,Low,0,0.0,Inlier
CUST_15080,27,Female,IT & Software,Ahmedabad,70600.0,847200.0,4,Living with Parents,2740000.0,900.0,Periphery / Growth Corridor,31.2,Investment,1,1-3 years,Google & Social Media Ads,2024-06-29,1,1,0,0,0.0968,Low,0,0.0,Inlier
CUST_19085,42,Male,Healthcare & Doctor,Delhi,95100.0,1141200.0,6,Rented,4120000.0,1132.8263289515762,Suburbs,20.8,Self-use,1,6-12 months,Print / Newspaper Ad,2024-07-05,1,1,1,1,0.99,High,1,3940000.0,Inlier
CUST_21894,43,Male,Manufacturing & Engg,Kolkata,28500.0,342000.0,5,Owned Flat/House,2000000.0,600.0,Within City Limits,15.7,Self-use,1,1-3 years,Google & Social Media Ads,2024-09-30,0,0,0,0,0.0468,Low,0,0.0,Inlier
CUST_14000,41,Male,BFSI & Banking,Mumbai,183000.0,2196000.0,4,Rented,9560000.0,1200.0,City Centre,3.8,Self-use,1,0-6 months,Direct Walk-in / Exhibition,2025-01-14,0,1,0,0,0.38,Medium,0,0.0,Inlier
CUST_12894,26,Female,Retail & Commerce,Pune,64900.0,778800.0,4,Rented,2110000.0,1200.0,Suburbs,20.3,Investment,1,1-3 years,Google & Social Media Ads,2024-05-22,0,0,0,0,0.0351,Low,0,0.0,Inlier
CUST_16518,69,Male,Healthcare & Doctor,Bengaluru,165620.93811043334,1987451.2573252001,5,Owned Flat/House,4930000.0,1000.0,Suburbs,26.3,Self-use,1,0-6 months,Channel Partner / Broker,2024-05-18,1,1,1,1,0.99,High,1,4760000.0,Inlier
CUST_14040,51,Male,Education & Academic,Hyderabad,182000.0,2184000.0,6,Rented,10270000.0,1500.0,Within City Limits,12.2,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2025-05-27,0,1,0,1,0.9638,High,1,10030000.0,Inlier
CUST_21289,42,Male,Education & Academic,Delhi,112000.0,1344000.0,4,Rented,5630000.0,1800.0,Periphery / Growth Corridor,32.3,Self-use,1,>3 years,Google & Social Media Ads,2025-03-06,0,0,0,0,0.0552,Low,0,0.0,Inlier
CUST_16114,34,Female,IT & Software,Hyderabad,94800.0,1137600.0,3,Rented,3920000.0000000005,600.0,Suburbs,26.3,Self-use,1,6-12 months,Magicbricks / Real Estate Portal,2025-03-25,0,0,0,0,0.2572,Low,0,0.0,Inlier
CUST_13063,26,Male,Healthcare & Doctor,Noida,51000.0,612000.0,3,Rented,2260000.0,1000.0,Suburbs,18.1,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2024-05-21,1,1,1,0,0.9244,High,0,0.0,Inlier
CUST_13716,27,Male,IT & Software,Mumbai,28000.000000000004,336000.00000000006,2,Living with Parents,2000000.0,900.0,Periphery / Growth Corridor,44.7,Investment,1,6-12 months,Print / Newspaper Ad,2024-08-01,1,1,1,1,0.7839,High,1,1940000.0,Inlier
CUST_17337,46,Female,IT & Software,Mumbai,210500.0,2526000.0,5,Rented,15902170.815479912,1200.0,Suburbs,29.4,Self-use,1,6-12 months,Magicbricks / Real Estate Portal,2025-02-16,1,1,0,0,0.2492,Low,0,0.0,Inlier
CUST_14521,37,Male,Healthcare & Doctor,Bengaluru,188000.0,2256000.0,4,Rented,7490000.0,1500.0,Periphery / Growth Corridor,45.5,Self-use,1,6-12 months,Direct Walk-in / Exhibition,2024-08-16,0,1,0,1,0.4065,Medium,1,7390000.0,Inlier
CUST_10053,43,Male,Healthcare & Doctor,Chennai,79700.0,956400.0,3,Rented,3070000.0,1069.6373961132385,Suburbs,25.6,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2025-03-25,0,0,0,1,0.4563,Medium,1,3070000.0,Inlier
CUST_16162,34,Male,IT & Software,Noida,114999.99999999999,1379999.9999999998,2,Rented,5160000.0,1000.0,Periphery / Growth Corridor,34.0,Self-use,1,>3 years,Magicbricks / Real Estate Portal,2024-01-03,0,0,0,0,0.0372,Low,0,0.0,Inlier
CUST_13297,61,Male,Retail & Commerce,Noida,317200.0,3806400.0,2,Rented,21322550.6741093,2056.8830099119755,Periphery / Growth Corridor,23.543763055768217,Investment,1,0-6 months,Google & Social Media Ads,2024-03-02,1,1,0,0,0.6547,High,0,0.0,Inlier
CUST_13468,41,Male,IT & Software,Hyderabad,190400.0,2284800.0,3,Living with Parents,8520000.0,2400.0,Suburbs,29.1,Investment,1,1-3 years,Google & Social Media Ads,2024-07-26,0,1,1,0,0.7619,High,0,0.0,Inlier
CUST_12059,43,Male,Self-Employed / Business,Pune,115500.0,1386000.0,4,Rented,6790000.0,1200.0,City Centre,6.5,Investment,0,0-6 months,Google & Social Media Ads,2025-05-03,0,0,0,0,0.2062,Low,0,0.0,Inlier
CUST_12926,43,Female,Manufacturing & Engg,Bengaluru,92300.0,1107600.0,5,Rented,3590000.0,900.0,Periphery / Growth Corridor,43.3,Self-use,0,1-3 years,Direct Walk-in / Exhibition,2024-04-22,1,1,0,0,0.178,Low,0,0.0,Inlier
CUST_10703,43,Male,BFSI & Banking,Chennai,137000.0,1644000.0,4,Living with Parents,7710000.0,1500.0,Within City Limits,10.0,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2024-09-30,1,1,1,1,0.99,High,1,7360000.0,Inlier
CUST_19675,63,Male,Retired,Pune,125700.0,1508400.0,6,Rented,5860000.0,1287.7749724477549,Suburbs,23.8,Investment,1,>3 years,Google & Social Media Ads,2024-02-21,1,1,0,0,0.0321,Low,0,0.0,Inlier
CUST_14288,44,Male,Self-Employed / Business,Hyderabad,191700.0,2300400.0,4,Rented,9840000.0,1500.0,Periphery / Growth Corridor,31.5,Investment,0,1-3 years,Channel Partner / Broker,2025-02-19,0,1,0,1,0.1469,Low,1,9680000.0,Inlier
CUST_15186,29,Male,Manufacturing & Engg,Noida,57200.0,686400.0,3,Rented,3190000.0,600.0,Suburbs,28.3,Investment,1,6-12 months,Google & Social Media Ads,2024-06-12,1,1,0,0,0.1361,Low,0,0.0,Inlier
CUST_18501,69,Male,Retired,Delhi,266697.56961677084,3200370.83540125,6,Owned Flat/House,5220000.0,1800.0,Within City Limits,10.0,Self-use,1,>3 years,Print / Newspaper Ad,2024-11-11,0,0,0,0,0.0419,Low,0,0.0,Inlier
CUST_21000,27,Male,IT & Software,Mumbai,28000.000000000004,336000.00000000006,4,Living with Parents,2000000.0,1000.0,City Centre,2.7,Investment,0,6-12 months,Google & Social Media Ads,2024-09-09,1,1,0,1,0.1265,Low,1,1990000.0,Inlier
CUST_16901,26,Male,Government & PSU,Gurugram,28000.0,336000.0,2,Living with Parents,2000000.0,900.0,Periphery / Growth Corridor,47.2,Investment,1,6-12 months,Magicbricks / Real Estate Portal,2024-09-15,1,1,0,0,0.2039,Low,0,0.0,Inlier
CUST_16184,50,Female,IT & Software,Chennai,332400.0,3988800.0,3,Living with Parents,17920000.0,3404.482080805248,Within City Limits,15.0,Self-use,1,1-3 years,Direct Walk-in / Exhibition,2025-04-20,0,0,0,0,0.0459,Low,0,0.0,Inlier
CUST_17218,40,Male,Self-Employed / Business,Kolkata,250700.0,3008400.0,3,Rented,17945173.444831,2400.0,Suburbs,18.0,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2024-06-11,1,1,1,1,0.9759,High,1,9940000.0,Inlier
CUST_20311,44,Male,IT & Software,Gurugram,217000.0,2604000.0,3,Owned Flat/House,9500000.0,1800.0,Suburbs,22.9,Self-use,1,0-6 months,Google & Social Media Ads,2025-01-30,0,1,1,1,0.99,High,1,9280000.0,Inlier
CUST_15442,36,Male,Government & PSU,Hyderabad,101100.0,1213200.0,4,Living with Parents,4740000.0,1200.0,City Centre,6.9,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,2025-04-15,1,1,0,0,0.2675,Low,0,0.0,Inlier
CUST_21715,36,Male,Self-Employed / Business,Noida,301500.0,3618000.0,4,Rented,17350000.0,2400.0,Within City Limits,8.9,Self-use,1,1-3 years,Channel Partner / Broker,2024-03-01,0,0,0,0,0.0732,Low,0,0.0,Inlier
CUST_10392,58,Female,Manufacturing & Engg,Hyderabad,45500.0,546000.0,4,Owned Flat/House,2020000.0,600.0,Suburbs,21.5,Investment,0,>3 years,Google & Social Media Ads,2025-02-02,1,1,0,0,0.0297,Low,0,0.0,Inlier
CUST_21919,36,Male,IT & Software,Mumbai,143500.0,1722000.0,4,Rented,12499070.441620346,1200.0,Within City Limits,16.1,Self-use,1,6-12 months,Print / Newspaper Ad,2025-02-14,0,0,0,0,0.1153,Low,0,0.0,Inlier
CUST_11266,40,Male,Healthcare & Doctor,Mumbai,157300.0,1887600.0,4,Living with Parents,7690000.0,1200.0,Periphery / Growth Corridor,33.5,Self-use,1,1-3 years,Google & Social Media Ads,2024-08-22,0,1,0,1,0.3054,Low,1,7630000.0,Inlier
CUST_10421,54,Female,Self-Employed / Business,Mumbai,500400.0,6004800.0,3,Owned Flat/House,26950000.0,2400.0,Suburbs,17.3,Investment,1,0-6 months,Magicbricks / Real Estate Portal,2024-09-26,0,0,0,0,0.0897,Low,0,0.0,Outlier
CUST_11061,42,Male,Healthcare & Doctor,Mumbai,44900.0,538800.0,3,Living with Parents,2590000.0,1197.0,Periphery / Growth Corridor,39.6,Self-use,1,>3 years,Channel Partner / Broker,2025-02-01,0,0,0,0,0.0195,Low,0,0.0,Inlier
